variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"r_ward[Shettleston.and.Tollcross,acf_periodc.postMacf]",0.02,0.01,0.10,0.08,-0.13,0.20,1.00,"3,626.97","3,320.56"
"r_ward[Springburn,acf_periodc.postMacf]",-0.16,-0.14,0.15,0.16,-0.44,0.03,1.01,817.91,"2,348.73"
"r_ward[Townhead,acf_periodc.postMacf]",-0.07,-0.06,0.11,0.10,-0.27,0.09,1.00,"1,692.69","3,199.29"
"r_ward[Whiteinch,acf_periodc.postMacf]",-0.08,-0.06,0.12,0.10,-0.30,0.07,1.00,"1,753.51","3,191.12"
"r_ward[Woodside,acf_periodc.postMacf]",0.03,0.02,0.10,0.08,-0.12,0.21,1.00,"3,281.87","3,186.27"
"r_ward[Yoker,acf_periodc.postMacf]",-0.11,-0.09,0.13,0.12,-0.35,0.05,1.00,"1,250.69","2,511.35"
"r_ward[Anderston,y_num:acf_periodb.acf]",-0.01,0.00,0.01,0.01,-0.02,0.01,1.00,"2,795.83","3,247.50"
"r_ward[Calton,y_num:acf_periodb.acf]",-0.01,0.00,0.01,0.01,-0.02,0.01,1.00,"3,167.99","3,087.92"
"r_ward[Camphill,y_num:acf_periodb.acf]",0.01,0.01,0.01,0.01,-0.01,0.03,1.00,"2,235.08","3,214.66"
"r_ward[Cathcart,y_num:acf_periodb.acf]",0.01,0.00,0.01,0.01,-0.01,0.02,1.00,"2,472.78","3,236.05"
"r_ward[Cowcaddens,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"4,329.10","3,267.62"
"r_ward[Cowlairs,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,671.77","3,236.38"
"r_ward[Craigton,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,023.72","3,508.40"
"r_ward[Dalmarnock,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.01,1.00,"4,632.45","3,286.87"
"r_ward[Dennistoun,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,940.23","3,107.36"
"r_ward[Exchange,y_num:acf_periodb.acf]",-0.01,0.00,0.01,0.01,-0.03,0.01,1.00,"2,486.97","3,246.23"
"r_ward[Fairfield,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.01,1.00,"4,429.71","3,170.45"
"r_ward[Gorbals,y_num:acf_periodb.acf]",-0.01,-0.01,0.01,0.01,-0.03,0.01,1.00,"2,505.88","3,462.01"
"r_ward[Govan,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.01,1.00,"4,807.14","3,255.37"
"r_ward[Govanhill,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,122.66","3,118.41"
"r_ward[Hutchesontown,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.01,1.00,"3,737.92","2,672.97"
"r_ward[Kelvinside,y_num:acf_periodb.acf]",0.01,0.00,0.01,0.01,-0.01,0.03,1.00,"2,611.99","3,396.06"
"r_ward[Kingston,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"4,079.52","3,411.69"
"r_ward[Kinning.Park,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,360.87","3,348.94"
"r_ward[Knightswood,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"3,237.79","3,317.39"
"r_ward[Langside,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,460.28","3,226.50"
"r_ward[Maryhill,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"4,152.66","3,113.69"
"r_ward[Mile-End,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"3,649.54","3,217.79"
"r_ward[North.Kelvin,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"2,948.00","3,250.58"
"r_ward[Park,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"4,159.43","3,068.93"
"r_ward[Parkhead,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.01,1.00,"4,154.41","3,216.86"
"r_ward[Partick.(East),y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.01,1.00,"3,780.67","3,071.71"
"r_ward[Partick.(West),y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"3,470.85","2,864.85"
"r_ward[Pollokshaws,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"3,863.68","3,112.54"
"r_ward[Pollokshields,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.02,1.00,"4,867.08","3,440.01"
"r_ward[Provan,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.01,1.00,"4,483.66","3,198.99"
"r_ward[Ruchill,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.02,0.01,1.00,"3,321.20","3,174.29"
"r_ward[Shettleston.and.Tollcross,y_num:acf_periodb.acf]",0.00,0.00,0.01,0.01,-0.01,0.01,1.00,"4,753.86","3,233.82"
